2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14.4,14,12.4,15.1,13.3,13.5,13.6,13.5,15.54973333,14.35066667
11.9,10.1,10.7,10.5,12,9.9,10.8,10.4,12.8046129,10.97896774
9.6,9.2,7.3,9.1,8.2,7.6,7.2,7.8,7.4129,9.430466667
7.6,8.2,7.9,8.3,8.1,8.1,7.9,8,7.981870968,8.977709677
8.5,9.2,10,9.5,10.2,7.9,9.5,9.8,8.783451613,9.31116129
12.1,10.4,10.5,10.9,13.3,11,11,10.5,11.4698,
12.3,13.6,14.6,11.9,13.8,12.1,12.9,12.8,14.02916129,
16.8,16.4,15.9,15.4,17.5,16.2,16.4,17.4,16.98266667,
16.5,20.2,18.4,19,18.6,19.3,18.8,19.6,19.30180645,
20.9,21,21.4,20.6,22.1,20.4,20.5,21.5,20.50912903,
19.7,19.6,20.4,20.6,21.3,20.8,21.4,20.9,19.12560714,
16.7,17.3,19.4,18.8,17.8,17.1,17.8,19,18.10106452,
